_id,service_name,sequence,name_mm,road_mm,the_geom
0,1,1,လှည်းကူးဈေး,အမှတ်(၁)လမ်းမ,0101000020E61000004DBA2D910B0E584028806264C9183140
1,1,2,သဉ္ဇာဦး,အမှတ်(၁)လမ်းမ,0101000020E6100000D47E6B274A0E5840D026874F3A193140
2,1,3,လှည်းကူးတာဆုံ,အမှတ်(၁)လမ်းမ,0101000020E6100000E9616875720E58405853591476193140
3,1,4,လေးထောင့်ကန် (ဆိုက်မွေး-၁),အမှတ်(၂)လမ်းမ,0101000020E61000007C629D2ADF1258408BE07F2BD9F53040
4,1,5,ရိပ်သာ,အမှတ်(၂)လမ်းမ,0101000020E6100000DC4AAFCDC6125840C8D3F20357F53040
5,1,6,သမ,အမှတ်(၂)လမ်းမ,0101000020E610000026A77686A9125840B2BD16F4DEF43040
6,1,7,ဦးခွေးပု,အမှတ်(၂)လမ်းမ,0101000020E6100000EDD632198E125840EECD6F9868F43040
7,1,8,မုန့်ဖို,အမှတ်(၂)လမ်းမ,0101000020E61000007632384A5E125840E23FDD4081F33040
8,1,9,သပြေခြံ,အမှတ်(၂)လမ်းမ,0101000020E6100000DBFB54151A125840EFAA07CC43F23040
9,1,10,ဒီဇင်ဘာအလယ်ပေါက်,အမှတ်(၂)လမ်းမ,0101000020E610000063EFC517ED1158407DAEB6627FF13040
10,1,11,အအေးခန်း,အမှတ်(၂)လမ်းမ,0101000020E6100000EF1AF4A5B7115840DB85E63A8DF03040
11,1,12,ယူနစ် (၃),အမှတ်(၂)လမ်းမ,0101000020E6100000524832AB771158408FDFDBF467EF3040
12,1,13,စီးပွားရေးတက္ကသိုလ်,အမှတ်(၂)လမ်းမ,0101000020E61000003B8908FF2211584074ECA012D7ED3040
13,1,14,ကြိုဆိုရေး,အမှတ်(၂)လမ်းမ,0101000020E61000000F5EBBB4E110584065C39ACAA2EC3040
14,1,15,ဆည်မြောင်း,အမှတ်(၂)လမ်းမ,0101000020E61000003E5A9C31CC1058402AA913D044EC3040
15,1,16,တစ်ရာ့လေးဆယ်,အမှတ်(၂)လမ်းမ,0101000020E61000009A22C0E95D1058402063EE5A42EA3040
16,1,17,ကျောင်းရှေ့,အမှတ်(၂)လမ်းမ,0101000020E6100000E7C6F4842510584097FE25A94CE93040
17,1,18,အကြော်တဲ,အမှတ်(၂)လမ်းမ,0101000020E6100000E200FA7DFF0F5840BA4C4D8237E83040
18,1,19,ညောင်ပင်,အမှတ်(၂)လမ်းမ,0101000020E6100000BBECD79DEE0F58404A0856D5CBE73040
19,1,20,အကောက်ခွန်,အမှတ်(၂)လမ်းမ,0101000020E6100000950C0055DC0F5840BA83D89942E73040
20,1,21,လိုင်စင်ရုံး (အလယ်ပေါက်),အမှတ်(၂)လမ်းမ,0101000020E6100000683F5244860F584017B6662B2FE53040
21,1,22,ဦးထွန်းမြတ်,အမှတ်(၂)လမ်းမ,0101000020E6100000ACE46377810F58409D0DF96706E53040
22,1,23,ဆေးရုံရှေ့,အမှတ်(၂)လမ်းမ,0101000020E6100000FE481119560F58407AA86DC328E43040
23,1,24,ကျောက်လမ်း,အမှတ်(၂)လမ်းမ,0101000020E610000003D0285DFA0E58401077F52A32E23040
24,1,25,တပ်ရင်း (၃),အမှတ်(၂)လမ်းမ,0101000020E610000068041BD7BF0E58405E4C33DDEBE03040
25,1,26,လေကျောင်း,အမှတ်(၂)လမ်းမ,0101000020E610000004E5B67D8F0E58400C40A374E9DF3040
26,1,27,သင်တန်းကျောင်း,အမှတ်(၂)လမ်းမ,0101000020E6100000BC7669C3610E584018B0E42A16DF3040
27,1,28,နတ်စင်,အမှတ်(၂)လမ်းမ,0101000020E610000066A4DE53390E58400EDAAB8F87DE3040
28,1,29,တောင်/မြောက်လမ်းဆုံ,အမှတ်(၂)လမ်းမ,0101000020E6100000D9B11188D70D5840FDF84B8BFADC3040
29,1,30,တံတားဖြူ,အမှတ်(၂)လမ်းမ,0101000020E61000003BDF4F8D970D58404B94BDA59CDB3040
30,1,31,ကားကြီးဂိတ်,အမှတ်(၂)လမ်းမ,0101000020E61000005F0A0F9A5D0D584055BFD2F9F0D83040
31,1,32,စံပြဈေး/ ငမိုးရိပ်,လေးထောင့်ကန်လမ်း,0101000020E6100000E388B5F8140D584069739CDB84D73040
32,1,33,မေတ္တာရွှေရည်,လေးထောင့်ကန်လမ်း,0101000020E61000000B09185DDE0C584037E15E99B7D63040
33,1,34,ဘဝမြင့်,လေးထောင့်ကန်လမ်း,0101000020E6100000D40B3ECDC90C5840CB2BD7DB66D63040
